Region,PHU_NUM,Population
Algoma,2226,113154
Brant County,2227,134957
Chatham-Kent,2240,102041
Durham Region,645911
Eastern Ontario,2258,202732
Grey Bruce,2233,446429
Haldimand-Norfolk,2234,109612
"Haliburton, Kawartha, Pine Ridge",2235,179211
Halton Region,2236,548460
Hamilton,2237,537005
Hastings and Prince Edward Counties,2238,161290
Huron Perth District,5183,136187
"Kingston, Frontenac and Lennox & Addington",2241,193050
Lambton,2242,126634
"Leeds, Grenville and Lanark District",2243,169323
Middlesex-London,2244,455531
Niagara Region,2246,447761
North Bay Parry Sound District,2247,123457
Northwestern,2249,76442
Ottawa,2020,934200
Peel,2255,1381513
Peterborough,2255,138340
Porcupine,2256,84270
Region of Waterloo,2265,534884
Renfrew County and District,2257,103627
Simcoe Muskoka District,2260,540201
Southwestern,4913,200000
Sudbury & District,2261,196386
Thunder Bay District,2262,151883
Timiskaming,2263,33058
Toronto,3895,2731544
Wellington-Dufferin-Guelph,2266,284360
Windsor-Essex County,2268,398959
York Region,2270,1109705
